Ação,Data,Abertura,Fechamento,Min,Max,Volume
RADLL238,2025-09-23,0.22,0.25,0.2,0.25,
CTAX3,2025-09-23,1.18,1.13,1.13,1.23,
EGIEX396,2025-09-23,0.35,0.35,0.35,0.35,
CSNAV789,2025-09-23,0.24,0.22,0.18,0.24,
EQTLV368,2025-09-23,0.57,0.54,0.54,0.57,
ELETJ478,2025-09-23,4.89,5.15,4.89,5.16,
TUPYW135,2025-09-23,0.53,0.58,0.53,0.58,
EQTLK388,2025-09-23,1.06,1.06,1.06,1.06,
TOTSV460,2025-09-23,1.42,1.46,1.42,1.47,
EQTLU355W4,2025-09-23,0.01,0.01,0.01,0.01,
S1PO34,2025-09-23,982,952.35,952.35,982.95,
PTNT4F,2025-09-23,4.46,4.81,4.46,4.81,
EGIEJ446,2025-09-23,0.15,0.16,0.13,0.23,
ELETJ497,2025-09-23,6.1,6.02,6.02,6.25,
CSNAJ749,2025-09-23,0.64,0.66,0.64,0.74,
EQTLK423,2025-09-23,0.19,0.19,0.19,0.19,
SAPRK388,2025-09-23,0.76,0.76,0.76,0.76,
SAPRK378,2025-09-23,1.36,1.36,1.36,1.36,
CPFEV359,2025-09-23,0.08,0.05,0.05,0.08,
NUTR3F,2025-09-23,2.85,2.9,2.85,2.9,
LMTB34,2025-09-23,2555.49,2562.04,2545,2562.04,
ELETV47,2025-09-23,0.23,0.23,0.23,0.23,
ENGIJ495,2025-09-23,2.35,2.31,2.31,2.35,
Z1TS34,2025-09-23,48.3,47,47,48.3,
CMIGC11,2025-09-23,2.63,2.6,2.6,2.63,
BEEFV701,2025-09-23,0.67,0.67,0.67,0.67,
RADLL243,2025-09-23,0.19,0.21,0.17,0.21,
MULTV276,2025-09-23,0.22,0.22,0.22,0.22,
ELETJ428,2025-09-23,9.75,9.79,9.71,9.79,
CSNAJ819,2025-09-23,0.27,0.23,0.23,0.3,
EQTLV390,2025-09-23,1.73,1.73,1.73,1.73,
RADLJ203,2025-09-23,0.09,0.23,0.09,0.23,
ENEVV147,2025-09-23,0.04,0.04,0.04,0.04,
BRKMI900W4,2025-09-23,0.02,0.01,0.01,0.02,
VLIDJ221,2025-09-23,0.38,0.38,0.38,0.38,
ENEVJ170,2025-09-23,0.28,0.29,0.28,0.29,
ENGIV481,2025-09-23,0.25,0.25,0.25,0.25,
RADLV200,2025-09-23,2.36,1.76,1.76,2.36,
ELETJ553,2025-09-23,0.11,0.11,0.11,0.11,
MULTV271,2025-09-23,0.16,0.14,0.14,0.17,
NVHO11,2025-09-23,12.85,12.2,12.2,12.85,
EQTLW363,2025-09-23,0.72,0.7,0.69,0.72,
TAEEV331,2025-09-23,0.03,0.03,0.03,0.03,
BRKMJ900W1,2025-09-23,0.1,0.04,0.04,0.1,
EQTLX365,2025-09-23,0.69,0.69,0.69,0.69,
EQTLJ403,2025-09-23,0.07,0.12,0.07,0.12,
EQTLJ365,2025-09-23,1.37,1.55,1.37,1.55,
ENEVJ167,2025-09-23,0.38,0.38,0.38,0.38,
JHSFX538,2025-09-23,0.05,0.05,0.05,0.05,
ELETJ403,2025-09-23,12.3,12.35,12.28,12.35,
DTCY3F,2025-09-23,2.82,2.76,2.76,2.82,
RADLA293,2025-09-23,0.08,0.08,0.02,0.08,
VTLT11Q,2025-09-23,91,91,91,91,
CPLEW130,2025-09-23,0.36,0.36,0.36,0.36,
NMRH34,2025-09-23,40.64,39.56,39.56,40.64,
CPFEJ374,2025-09-23,2.28,2.28,2.28,2.28,
ELETG500,2025-09-23,12,12.5,12,12.5,
JHSFK640,2025-09-23,0.34,0.35,0.34,0.36,
ELETJ450,2025-09-23,10.51,10.51,10.51,10.51,
ROMIX810,2025-09-23,0.25,0.25,0.25,0.25,
ELETW467,2025-09-23,0.51,0.51,0.51,0.53,
MULTV261,2025-09-23,0.08,0.07,0.07,0.08,
ELETW423,2025-09-23,0.05,0.04,0.04,0.05,
ENEVV155,2025-09-23,0.1,0.1,0.1,0.1,
VULCV209,2025-09-23,0.2,0.21,0.2,0.21,
CBEE3,2025-09-23,10.9,10.8,10.8,10.9,
CSNAW919,2025-09-23,1.15,1.11,1.11,1.18,
EGIEW373,2025-09-23,0.16,0.18,0.16,0.18,
W1MG34,2025-09-23,44.16,44.16,44.16,44.16,
MULTV246,2025-09-23,0.03,0.03,0.03,0.03,
ODPVJ140,2025-09-23,0.12,0.12,0.12,0.12,
MULTJ311,2025-09-23,0.17,0.17,0.17,0.17,
RADLX190,2025-09-23,0.89,0.89,0.89,0.89,
ELETJ543,2025-09-23,0.15,0.22,0.15,0.22,
CMIGV102,2025-09-23,0.01,0.01,0.01,0.01,
ELETW505,2025-09-23,1.73,1.45,1.45,1.73,
UNIPX48,2025-09-23,0.2,0.2,0.2,0.2,
BRKMX900,2025-09-23,0.95,0.93,0.92,0.95,
ELETJ565,2025-09-23,2.77,3.28,2.74,3.28,
ENMT3,2025-09-23,54.99,54.99,54.99,54.99,
JHSFW510,2025-09-23,0.03,0.03,0.03,0.03,
TAEEW351,2025-09-23,0.19,0.2,0.19,0.2,
ESTR4F,2025-09-23,5.66,5.66,5.66,5.66,
ELETW530,2025-09-23,2.7,2.7,2.7,2.7,
M1SI34,2025-09-23,624,624,624,624,
BRKMI860W4,2025-09-23,0.09,0.09,0.09,0.09,
CSNAW689,2025-09-23,0.11,0.11,0.11,0.11,
ELETJ473,2025-09-23,5.42,5.42,5.42,5.42,
