Ação,Data,Abertura,Fechamento,Min,Max,Volume
FESA3,2025-09-23,11.13,11.15,11.13,11.18,
FESA3F,2025-09-23,11.91,11.86,11.14,11.99,
FESA4,2025-09-23,6.69,6.7,6.62,6.76,
FESA4F,2025-09-23,6.72,6.71,6.62,6.76,
FESAH80,2025-09-23,0.57,0.57,0.57,0.57,
GGBR3,2025-09-23,15.08,15.09,15.08,15.47,
GGBR3F,2025-09-23,14.85,15.24,14.85,15.45,
GGBR4,2025-09-23,16.76,16.86,16.69,17.32,
GGBR4F,2025-09-23,16.56,16.87,16.56,17.32,
GGBRA187,2025-09-23,0.65,0.62,0.62,0.65,
GGBRA188,2025-09-23,0.5,0.5,0.5,0.5,
GGBRI160W4,2025-09-23,0.89,1.1,0.87,1.25,
GGBRI165W4,2025-09-23,0.3,0.6,0.3,0.94,
GGBRI170W4,2025-09-23,0.14,0.26,0.14,0.5,
GGBRI175W4,2025-09-23,0.05,0.11,0.05,0.19,
GGBRI180W4,2025-09-23,0.05,0.02,0.02,0.05,
GGBRJ152,2025-09-23,1.88,1.88,1.88,1.88,
GGBRJ155,2025-09-23,1.75,1.75,1.75,1.75,
GGBRJ155W1,2025-09-23,1.73,1.73,1.73,1.73,
GGBRJ157,2025-09-23,1.66,1.5,1.5,1.69,
GGBRJ160,2025-09-23,1.23,1.23,1.23,1.23,
GGBRJ162,2025-09-23,0.97,1.22,0.97,1.25,
GGBRJ165,2025-09-23,0.83,0.84,0.83,0.97,
GGBRJ165W1,2025-09-23,0.6,0.6,0.6,0.6,
GGBRJ165W2,2025-09-23,0.72,0.72,0.72,0.72,
GGBRJ168,2025-09-23,0.61,0.7,0.61,0.96,
GGBRJ170,2025-09-23,0.5,0.5,0.5,0.79,
GGBRJ170W1,2025-09-23,0.27,0.29,0.27,0.47,
GGBRJ170W4,2025-09-23,0.57,0.57,0.57,0.57,
GGBRJ172,2025-09-23,0.31,0.38,0.31,0.63,
GGBRJ175,2025-09-23,0.25,0.28,0.25,0.49,
GGBRJ175W1,2025-09-23,0.12,0.11,0.11,0.23,
GGBRJ175W2,2025-09-23,0.17,0.18,0.17,0.31,
GGBRJ177,2025-09-23,0.19,0.32,0.19,0.36,
GGBRJ180,2025-09-23,0.12,0.14,0.1,0.24,
GGBRJ180W1,2025-09-23,0.09,0.04,0.04,0.09,
GGBRJ180W2,2025-09-23,0.12,0.12,0.12,0.12,
GGBRJ180W5,2025-09-23,0.28,0.28,0.28,0.28,
GGBRJ182,2025-09-23,0.09,0.11,0.09,0.19,
GGBRJ185,2025-09-23,0.05,0.07,0.05,0.14,
GGBRJ185W1,2025-09-23,0.05,0.04,0.04,0.05,
GGBRJ185W2,2025-09-23,0.06,0.06,0.06,0.06,
GGBRJ185W5,2025-09-23,0.21,0.21,0.21,0.21,
GGBRJ188,2025-09-23,0.06,0.05,0.05,0.09,
GGBRJ190,2025-09-23,0.04,0.04,0.04,0.07,
GGBRJ190W2,2025-09-23,0.03,0.03,0.03,0.03,
GGBRJ192,2025-09-23,0.03,0.03,0.03,0.05,
GGBRJ195,2025-09-23,0.03,0.03,0.03,0.03,
GGBRJ199,2025-09-23,0.02,0.02,0.02,0.03,
GGBRJ203,2025-09-23,0.01,0.01,0.01,0.01,
GGBRJ205,2025-09-23,0.01,0.01,0.01,0.01,
GGBRJ22,2025-09-23,1.32,1.32,1.32,1.32,
GGBRK152,2025-09-23,2.26,2.26,2.26,2.26,
GGBRK155,2025-09-23,2.02,2.02,2.02,2.02,
GGBRK157,2025-09-23,1.82,1.82,1.82,1.82,
GGBRK160,2025-09-23,1.61,1.62,1.61,1.62,
GGBRK162,2025-09-23,1.67,1.67,1.67,1.67,
GGBRK165,2025-09-23,1.26,1.26,1.26,1.26,
GGBRK167,2025-09-23,1.06,1.08,1.05,1.3,
GGBRK17,2025-09-23,0.73,0.86,0.73,1.03,
GGBRK170,2025-09-23,0.92,0.93,0.89,1.18,
GGBRK175,2025-09-23,0.89,0.7,0.7,0.89,
GGBRK175W4,2025-09-23,0.45,0.45,0.45,0.45,
GGBRK18,2025-09-23,0.55,0.47,0.45,0.63,
GGBRK180,2025-09-23,0.64,0.59,0.55,0.76,
GGBRK182,2025-09-23,0.37,0.41,0.35,0.51,
GGBRK185,2025-09-23,0.44,0.33,0.31,0.44,
GGBRK187,2025-09-23,0.24,0.26,0.24,0.36,
GGBRK190,2025-09-23,0.26,0.22,0.21,0.3,
GGBRK192,2025-09-23,0.16,0.17,0.16,0.23,
GGBRK195,2025-09-23,0.14,0.14,0.14,0.19,
GGBRK202,2025-09-23,0.08,0.08,0.08,0.08,
GGBRK207,2025-09-23,0.06,0.06,0.06,0.06,
GGBRL153,2025-09-23,3,3,3,3,
GGBRL191,2025-09-23,0.61,0.65,0.61,0.65,
GGBRL20,2025-09-23,0.3,0.27,0.25,0.3,
GGBRL202,2025-09-23,0.29,0.24,0.24,0.31,
GGBRL215,2025-09-23,0.13,0.11,0.11,0.13,
GGBRL240,2025-09-23,0.42,0.39,0.3,0.42,
GGBRL26,2025-09-23,0.14,0.13,0.13,0.14,
GGBRU160W4,2025-09-23,0.01,0.01,0.01,0.01,
GGBRU165W4,2025-09-23,0.06,0.06,0.03,0.06,
GGBRU170W4,2025-09-23,0.22,0.17,0.09,0.22,
GGBRU175W4,2025-09-23,0.58,0.51,0.28,0.58,
GGBRU180W4,2025-09-23,0.7,0.7,0.7,0.7,
GGBRV130,2025-09-23,0.01,0.01,0.01,0.01,
GGBRV140,2025-09-23,0.01,0.01,0.01,0.01,
GGBRV150,2025-09-23,0.03,0.04,0.03,0.04,
GGBRV152,2025-09-23,0.05,0.05,0.03,0.05,
GGBRV155,2025-09-23,0.06,0.07,0.05,0.07,
GGBRV155W2,2025-09-23,0.04,0.04,0.04,0.04,
GGBRV157,2025-09-23,0.07,0.09,0.06,0.09,
GGBRV160,2025-09-23,0.09,0.12,0.08,0.13,
GGBRV160W1,2025-09-23,0.04,0.05,0.04,0.05,
GGBRV162,2025-09-23,0.16,0.14,0.1,0.17,
GGBRV165,2025-09-23,0.2,0.22,0.14,0.23,
GGBRV165W1,2025-09-23,0.15,0.14,0.1,0.15,
GGBRV165W2,2025-09-23,0.2,0.2,0.2,0.2,
GGBRV168,2025-09-23,0.25,0.29,0.19,0.31,
GGBRV170,2025-09-23,0.37,0.38,0.25,0.41,
GGBRV170W1,2025-09-23,0.31,0.32,0.2,0.33,
GGBRV170W2,2025-09-23,0.36,0.36,0.36,0.36,
GGBRV172,2025-09-23,0.45,0.52,0.34,0.52,
GGBRV175,2025-09-23,0.53,0.67,0.44,0.68,
GGBRV175W1,2025-09-23,0.72,0.64,0.46,0.72,
GGBRV175W2,2025-09-23,0.63,0.63,0.63,0.63,
GGBRV177,2025-09-23,0.6,0.79,0.57,0.84,
GGBRV180,2025-09-23,0.78,1.03,0.72,1.03,
GGBRV180W1,2025-09-23,1.16,1.05,1.05,1.16,
GGBRV182,2025-09-23,1.17,1.17,1.17,1.17,
GGBRV185,2025-09-23,1.49,1.28,1.08,1.49,
GGBRV188,2025-09-23,1.82,1.5,1.5,1.82,
GGBRV203,2025-09-23,2.85,2.85,2.85,2.85,
GGBRW152,2025-09-23,0.15,0.14,0.11,0.15,
GGBRW155,2025-09-23,0.19,0.18,0.15,0.19,
GGBRW157,2025-09-23,0.23,0.21,0.21,0.23,
GGBRW158W4,2025-09-23,0.27,0.27,0.27,0.27,
GGBRW160,2025-09-23,0.28,0.28,0.22,0.28,
GGBRW162,2025-09-23,0.35,0.31,0.25,0.35,
GGBRW165,2025-09-23,0.41,0.4,0.38,0.42,
GGBRW165W4,2025-09-23,0.72,0.72,0.72,0.72,
GGBRW167,2025-09-23,0.48,0.49,0.48,0.49,
GGBRW17,2025-09-23,0.68,0.72,0.53,0.72,
GGBRW170,2025-09-23,0.61,0.57,0.46,0.61,
GGBRW175,2025-09-23,0.83,0.84,0.63,0.84,
GGBRW180,2025-09-23,0.99,0.98,0.75,0.99,
GGBRW182,2025-09-23,1.25,1.25,1.25,1.25,
GGBRW185,2025-09-23,1.33,1.33,1.33,1.33,
GGBRW202,2025-09-23,2.76,2.76,2.76,2.76,
GGBRW225,2025-09-23,5,4.8,4.8,5,
GGBRX16,2025-09-23,0.22,0.22,0.22,0.22,
GGBRX175,2025-09-23,0.6,0.6,0.6,0.6,
GGBRX177,2025-09-23,0.75,0.66,0.65,0.75,
GGBRX240,2025-09-23,1.71,1.55,1.55,1.71,
GOAU3,2025-09-23,9.52,9.62,9.52,9.88,
GOAU3F,2025-09-23,9.6,9.62,9.55,9.85,
GOAU4,2025-09-23,9.53,9.68,9.49,9.88,
GOAU4F,2025-09-23,9.55,9.7,9.51,9.88,
GOAUA100,2025-09-23,0.8,0.8,0.8,0.8,
GOAUA103,2025-09-23,0.52,0.52,0.52,0.52,
GOAUA115,2025-09-23,0.15,0.15,0.15,0.15,
GOAUA949,2025-09-23,0.87,0.86,0.86,0.87,
GOAUA967,2025-09-23,0.77,0.77,0.77,0.77,
GOAUD150,2025-09-23,0.42,0.45,0.42,0.45,
GOAUJ10,2025-09-23,0.13,0.16,0.13,0.25,
GOAUJ100,2025-09-23,0.22,0.25,0.22,0.35,
GOAUJ105,2025-09-23,0.03,0.04,0.03,0.08,
GOAUJ110,2025-09-23,0.02,0.01,0.01,0.02,
GOAUJ140,2025-09-23,0.01,0.01,0.01,0.01,
GOAUJ867,2025-09-23,1.3,1.3,1.3,1.3,
GOAUJ907,2025-09-23,0.82,0.82,0.82,0.82,
GOAUJ927,2025-09-23,0.75,0.75,0.75,0.75,
GOAUJ947,2025-09-23,0.55,0.54,0.48,0.55,
GOAUJ967,2025-09-23,0.35,0.38,0.3,0.49,
GOAUK100,2025-09-23,0.41,0.51,0.41,0.59,
GOAUK103,2025-09-23,0.25,0.29,0.25,0.35,
GOAUK105,2025-09-23,0.2,0.2,0.2,0.25,
GOAUK108,2025-09-23,0.09,0.13,0.09,0.18,
GOAUK110,2025-09-23,0.09,0.09,0.09,0.12,
GOAUK115,2025-09-23,0.04,0.05,0.04,0.05,
GOAUK118,2025-09-23,0.04,0.04,0.04,0.04,
GOAUK120,2025-09-23,0.03,0.03,0.03,0.03,
GOAUK125,2025-09-23,0.02,0.02,0.02,0.02,
GOAUK847,2025-09-23,1.52,1.52,1.52,1.52,
GOAUK909,2025-09-23,0.99,0.92,0.92,0.99,
GOAUK929,2025-09-23,0.9,0.9,0.9,0.9,
GOAUK947,2025-09-23,0.78,0.75,0.71,0.86,
GOAUK967,2025-09-23,0.62,0.62,0.58,0.71,
GOAUK99,2025-09-23,0.34,0.39,0.34,0.47,
GOAUL100,2025-09-23,0.56,0.86,0.56,0.87,
GOAUL104,2025-09-23,0.4,0.4,0.4,0.4,
GOAUL108,2025-09-23,0.2,0.2,0.2,0.2,
GOAUL160,2025-09-23,0.02,0.01,0.01,0.02,
GOAUL969,2025-09-23,0.59,0.59,0.59,0.59,
GOAUL979,2025-09-23,0.58,0.6,0.58,0.6,
GOAUM100,2025-09-23,0.38,0.42,0.38,0.43,
GOAUM907,2025-09-23,0.15,0.15,0.15,0.15,
GOAUM949,2025-09-23,0.26,0.26,0.26,0.26,
GOAUV10,2025-09-23,0.29,0.36,0.29,0.39,
GOAUV100,2025-09-23,0.24,0.27,0.19,0.29,
GOAUV105,2025-09-23,0.81,0.67,0.61,0.81,
GOAUV110,2025-09-23,1.12,1.11,1.11,1.12,
GOAUV135,2025-09-23,3.54,3.6,3.54,3.6,
GOAUV807,2025-09-23,0.01,0.01,0.01,0.01,
GOAUV827,2025-09-23,0.01,0.01,0.01,0.01,
GOAUV847,2025-09-23,0.01,0.01,0.01,0.01,
GOAUV867,2025-09-23,0.02,0.02,0.02,0.02,
GOAUV887,2025-09-23,0.03,0.03,0.03,0.03,
GOAUV907,2025-09-23,0.06,0.04,0.04,0.06,
GOAUV927,2025-09-23,0.07,0.08,0.06,0.08,
GOAUV929,2025-09-23,0.07,0.09,0.07,0.1,
GOAUV947,2025-09-23,0.12,0.11,0.1,0.12,
GOAUV967,2025-09-23,0.13,0.18,0.13,0.18,
GOAUW100,2025-09-23,0.33,0.36,0.33,0.36,
GOAUW103,2025-09-23,0.52,0.63,0.51,0.63,
GOAUW110,2025-09-23,1.13,1.13,1.13,1.13,
GOAUW115,2025-09-23,1.49,1.49,1.49,1.49,
GOAUW807,2025-09-23,0.03,0.03,0.03,0.03,
GOAUW849,2025-09-23,0.06,0.06,0.06,0.06,
GOAUW867,2025-09-23,0.07,0.07,0.07,0.07,
GOAUW869,2025-09-23,0.08,0.08,0.08,0.08,
GOAUW887,2025-09-23,0.08,0.09,0.08,0.09,
GOAUW889,2025-09-23,0.09,0.1,0.09,0.1,
GOAUW907,2025-09-23,0.1,0.12,0.1,0.12,
GOAUW909,2025-09-23,0.12,0.12,0.12,0.12,
GOAUW927,2025-09-23,0.18,0.16,0.13,0.18,
GOAUW929,2025-09-23,0.18,0.18,0.18,0.18,
GOAUW947,2025-09-23,0.22,0.22,0.22,0.22,
GOAUW949,2025-09-23,0.21,0.2,0.2,0.21,
GOAUW967,2025-09-23,0.24,0.25,0.24,0.25,
GOAUW99,2025-09-23,0.49,0.45,0.38,0.49,
GOAUX10,2025-09-23,0.62,0.62,0.62,0.62,
GOAUX100,2025-09-23,0.29,0.27,0.22,0.29,
GOAUX929,2025-09-23,0.22,0.22,0.22,0.22,
GOAUX989,2025-09-23,0.35,0.35,0.35,0.35,
MGEL4,2025-09-23,6,5.81,5.81,6,
MGEL4F,2025-09-23,5.94,6,5.94,6,
PATI3F,2025-09-23,45.99,45.19,45.19,45.99,
PMAM1,2025-09-23,0.01,0.01,0.01,0.02,
PMAM1F,2025-09-23,0.01,0.01,0.01,0.02,
PMAM3,2025-09-23,1.46,1.39,1.36,1.47,
PMAM3F,2025-09-23,1.48,1.37,1.36,1.48,
TKNO4,2025-09-23,175.01,175,171.01,175.01,
TKNO4F,2025-09-23,174.1,173,173,175,
VALE3,2025-09-23,58,57.67,57.66,58.39,
VALE3F,2025-09-23,58,57.66,57.66,58.38,
VALEA497,2025-09-23,10.31,10.31,10.31,10.31,
VALEA572,2025-09-23,7.06,6.99,6.99,7.06,
VALEA582,2025-09-23,6.35,6.26,6.26,6.41,
VALEA592,2025-09-23,5.8,5.85,5.8,5.85,
VALEA622,2025-09-23,3.66,3.57,3.57,3.66,
VALEA641,2025-09-23,1.13,1.76,1.13,1.76,
VALEA642,2025-09-23,2.5,2.05,2.05,2.5,
VALEA646,2025-09-23,1.5,1.55,1.43,1.55,
VALEA651,2025-09-23,1.2,1.2,1.2,1.2,
VALEA652,2025-09-23,2.02,2.02,2.02,2.02,
VALEA655,2025-09-23,0.8,0.78,0.78,0.8,
VALEA661,2025-09-23,0.5,0.5,0.5,0.5,
VALEA665,2025-09-23,0.65,0.65,0.65,0.65,
VALEA715,2025-09-23,0.22,0.22,0.22,0.22,
VALEB560,2025-09-23,8.89,8.85,8.85,8.89,
VALEB598,2025-09-23,11.19,11,11,11.2,
VALEB613,2025-09-23,3.8,3.8,3.8,3.8,
VALEB615,2025-09-23,5.2,5.2,5.2,5.2,
VALEB622,2025-09-23,2.5,2.5,2.5,2.5,
VALEB627,2025-09-23,2.3,2.3,2.3,2.3,
VALEC350,2025-09-23,30.68,30.68,30.68,30.68,
VALEC630,2025-09-23,8.33,9.76,8.33,9.76,
VALEC680,2025-09-23,1,1,1,1,
VALEC686,2025-09-23,1.5,1.5,1.5,1.5,
VALEC705,2025-09-23,0.8,0.8,0.8,0.8,
VALED528,2025-09-23,11.2,11.21,11.2,11.21,
VALED577,2025-09-23,6.22,6.2,6.2,6.22,
VALED582,2025-09-23,5.91,5.9,5.9,5.91,
VALED588,2025-09-23,6.53,6.52,6.52,6.53,
VALED678,2025-09-23,6.03,6.96,6.03,6.96,
VALED803,2025-09-23,3.01,3.01,3.01,3.01,
VALEE65,2025-09-23,3.58,3.58,3.58,3.58,
VALEF143,2025-09-23,0.03,0.03,0.03,0.03,
VALEF540,2025-09-23,16,16,16,16,
VALEF598,2025-09-23,11.79,11.79,11.79,11.79,
VALEF780,2025-09-23,4.5,4.5,4.5,4.5,
VALEI500W4,2025-09-23,9.56,9.44,9.44,9.56,
VALEI510W4,2025-09-23,8.61,8.43,8.43,8.61,
VALEI520W4,2025-09-23,7.65,7.44,7.44,7.65,
VALEI530W4,2025-09-23,6.66,6.48,6.48,6.66,
VALEI540W4,2025-09-23,5.68,5.53,5.53,6.01,
VALEI550W4,2025-09-23,4.72,4.52,4.52,4.82,
VALEI560W4,2025-09-23,3.74,3.58,3.58,3.83,
VALEI570W4,2025-09-23,2.74,2.47,2.44,2.88,
VALEI580W4,2025-09-23,1.78,1.48,1.48,2.11,
VALEI590W4,2025-09-23,0.92,0.67,0.66,1.17,
VALEI600W4,2025-09-23,0.27,0.31,0.19,0.47,
VALEI610W4,2025-09-23,0.09,0.08,0.07,0.14,
VALEI620W4,2025-09-23,0.04,0.02,0.02,0.04,
VALEI630W4,2025-09-23,0.02,0.01,0.01,0.02,
VALEJ49,2025-09-23,12.97,12.84,12.84,12.97,
VALEJ500W2,2025-09-23,9.73,9.73,9.73,9.73,
VALEJ504,2025-09-23,9.95,9.48,9.48,9.95,
VALEJ505W2,2025-09-23,9.27,9.21,9.21,9.27,
VALEJ510,2025-09-23,11.33,11.33,11.33,11.33,
VALEJ510W2,2025-09-23,8.8,8.74,8.74,8.8,
VALEJ514,2025-09-23,8.97,8.89,8.89,8.97,
VALEJ515W2,2025-09-23,8.36,8.19,8.19,8.36,
VALEJ520,2025-09-23,10.07,10.07,10.07,10.07,
VALEJ520W2,2025-09-23,7.94,7.8,7.8,7.94,
VALEJ524,2025-09-23,7.86,7.48,7.48,8.04,
VALEJ525W1,2025-09-23,7.25,7.19,7.19,7.25,
VALEJ525W2,2025-09-23,7.37,7.31,7.31,7.37,
VALEJ530,2025-09-23,9.35,9.37,9.35,9.51,
VALEJ530W1,2025-09-23,6.9,6.72,6.72,6.9,
VALEJ530W2,2025-09-23,6.88,6.82,6.82,6.88,
VALEJ534,2025-09-23,6.94,6.83,6.83,6.94,
VALEJ535W1,2025-09-23,6.43,6.23,6.23,6.43,
VALEJ535W2,2025-09-23,6.45,6.34,6.34,6.45,
VALEJ540,2025-09-23,8.26,8,8,8.53,
VALEJ540W1,2025-09-23,5.92,5.68,5.68,5.92,
VALEJ540W2,2025-09-23,5.89,5.85,5.85,5.89,
VALEJ544,2025-09-23,5.84,5.96,5.84,6.1,
VALEJ545W1,2025-09-23,5.41,5.23,5.23,5.67,
VALEJ545W2,2025-09-23,5.4,5.36,5.36,5.4,
VALEJ550,2025-09-23,7.39,7.43,7.39,7.51,
VALEJ550W1,2025-09-23,4.97,4.77,4.74,4.97,
VALEJ550W2,2025-09-23,4.92,4.88,4.88,4.92,
VALEJ553,2025-09-23,12.34,12.3,12.3,12.34,
VALEJ554,2025-09-23,4.87,4.67,4.67,5,
VALEJ555W1,2025-09-23,4.43,4.29,4.29,4.43,
VALEJ555W2,2025-09-23,4.48,4.42,4.42,4.48,
VALEJ560,2025-09-23,6.43,6.16,6.16,6.6,
VALEJ560W1,2025-09-23,3.95,3.83,3.83,3.98,
VALEJ560W2,2025-09-23,4.01,3.95,3.95,4.01,
VALEJ565W1,2025-09-23,3.49,3.37,3.37,3.49,
VALEJ565W2,2025-09-23,3.56,3.5,3.5,3.56,
VALEJ570,2025-09-23,5.5,5.5,5.35,5.57,
VALEJ570W1,2025-09-23,2.99,2.67,2.67,3.05,
VALEJ570W2,2025-09-23,3.1,3.04,3.04,3.1,
VALEJ570W5,2025-09-23,2.37,2.37,2.37,2.37,
VALEJ574,2025-09-23,3.05,2.8,2.8,3.35,
VALEJ575W1,2025-09-23,2.56,2.22,2.22,2.56,
VALEJ575W2,2025-09-23,2.64,2.58,2.58,2.64,
VALEJ578,2025-09-23,10.5,10.56,10.5,10.56,
VALEJ580,2025-09-23,4.42,4.08,4.08,4.71,
VALEJ580W1,2025-09-23,2.13,2.01,2.01,2.19,
VALEJ580W2,2025-09-23,2.21,2.15,2.15,2.21,
VALEJ584,2025-09-23,2.4,2.12,2,2.52,
VALEJ585,2025-09-23,3.95,3.67,3.67,4.19,
VALEJ585W1,2025-09-23,1.71,1.47,1.47,1.73,
VALEJ585W2,2025-09-23,1.82,1.76,1.76,1.82,
VALEJ590,2025-09-23,3.51,3.19,3.19,3.78,
VALEJ590W1,2025-09-23,1.32,1.05,1.05,1.41,
VALEJ590W2,2025-09-23,1.47,1.41,1.41,1.47,
VALEJ593W1,2025-09-23,0.31,0.25,0.25,0.4,
VALEJ593W2,2025-09-23,0.55,0.44,0.44,0.62,
VALEJ593W4,2025-09-23,1.04,0.95,0.95,1.45,
VALEJ594,2025-09-23,1.48,1.37,1.35,1.79,
VALEJ595W1,2025-09-23,0.91,0.75,0.75,0.99,
VALEJ595W2,2025-09-23,1.34,1.09,1.09,1.43,
VALEJ600,2025-09-23,2.58,2.39,2.39,2.93,
VALEJ600W1,2025-09-23,0.7,0.51,0.51,0.84,
VALEJ600W2,2025-09-23,1.01,0.83,0.83,1.08,
VALEJ600W5,2025-09-23,0.55,1.04,0.55,1.04,
VALEJ603W1,2025-09-23,0.15,0.12,0.12,0.2,
VALEJ603W2,2025-09-23,0.28,0.23,0.23,0.34,
VALEJ603W4,2025-09-23,0.42,0.42,0.42,0.42,
VALEJ604,2025-09-23,0.93,0.86,0.86,1.19,
VALEJ610,2025-09-23,1.84,1.67,1.67,2.15,
VALEJ613W1,2025-09-23,0.07,0.07,0.07,0.08,
VALEJ613W2,2025-09-23,0.15,0.12,0.12,0.18,
VALEJ614,2025-09-23,0.57,0.51,0.51,0.74,
VALEJ620,2025-09-23,1.35,1.1,1.08,1.47,
VALEJ620W5,2025-09-23,0.4,0.56,0.4,0.56,
VALEJ623W1,2025-09-23,0.04,0.03,0.03,0.04,
VALEJ623W2,2025-09-23,0.11,0.07,0.07,0.11,
VALEJ624,2025-09-23,0.35,0.31,0.31,0.45,
VALEJ630,2025-09-23,0.76,0.7,0.67,0.95,
VALEJ633W1,2025-09-23,0.02,0.02,0.02,0.02,
VALEJ633W2,2025-09-23,0.05,0.05,0.05,0.05,
VALEJ634,2025-09-23,0.21,0.19,0.19,0.26,
VALEJ640,2025-09-23,0.46,0.4,0.36,0.58,
VALEJ644,2025-09-23,0.13,0.13,0.12,0.16,
VALEJ650,2025-09-23,0.3,0.24,0.24,0.34,
VALEJ654,2025-09-23,0.08,0.07,0.07,0.1,
VALEJ660,2025-09-23,0.17,0.14,0.14,0.2,
VALEJ670,2025-09-23,0.1,0.09,0.08,0.12,
VALEJ674,2025-09-23,0.04,0.05,0.03,0.05,
VALEJ680,2025-09-23,0.07,0.06,0.06,0.08,
VALEJ684,2025-09-23,0.03,0.03,0.02,0.03,
VALEJ685,2025-09-23,0.05,0.06,0.05,0.06,
VALEJ690,2025-09-23,0.05,0.04,0.04,0.05,
VALEJ700,2025-09-23,0.04,0.03,0.03,0.04,
VALEJ704,2025-09-23,0.01,0.02,0.01,0.02,
VALEJ712,2025-09-23,0.02,0.02,0.02,0.02,
VALEJ720,2025-09-23,0.01,0.01,0.01,0.01,
VALEJ80,2025-09-23,0.01,0.01,0.01,0.01,
VALEJ902,2025-09-23,0.01,0.01,0.01,0.01,
VALEK466,2025-09-23,14.16,14.16,14.16,14.16,
VALEK505W1,2025-09-23,8.4,8.4,8.4,8.4,
VALEK516,2025-09-23,9.37,9.38,9.23,9.51,
VALEK521,2025-09-23,8.42,8.42,8.42,8.42,
VALEK526,2025-09-23,8.28,8.1,8.1,8.57,
VALEK531,2025-09-23,7.97,7.96,7.73,8.1,
VALEK536,2025-09-23,7.51,7.36,7.36,7.64,
VALEK541,2025-09-23,7.05,7.06,6.92,7.2,
VALEK546,2025-09-23,6.34,6.2,6.2,6.74,
VALEK551,2025-09-23,6.19,6.06,6.03,6.3,
VALEK556,2025-09-23,5.6,5.43,5.43,5.86,
VALEK561,2025-09-23,5.12,5.28,5.12,5.43,
VALEK566,2025-09-23,4.86,4.65,4.65,5.03,
VALEK571,2025-09-23,4.3,4.14,4.14,4.59,
VALEK576,2025-09-23,3.97,3.8,3.79,4.23,
VALEK580W4,2025-09-23,2.55,2.55,2.55,2.55,
VALEK581,2025-09-23,3.71,3.39,3.39,3.83,
VALEK585W1,2025-09-23,1.95,1.95,1.95,1.95,
VALEK586,2025-09-23,3.16,2.97,2.97,3.47,
VALEK591,2025-09-23,2.88,2.65,2.65,3.11,
VALEK596,2025-09-23,2.58,2.35,2.35,2.78,
VALEK600W2,2025-09-23,1,1.34,1,1.36,
VALEK600W4,2025-09-23,1.65,1.7,1.65,1.7,
VALEK601,2025-09-23,2.26,2.11,2.11,2.47,
VALEK606,2025-09-23,2.01,1.8,1.8,2.19,
VALEK611,2025-09-23,1.79,1.66,1.64,1.92,
VALEK616,2025-09-23,1.36,1.36,1.36,1.67,
VALEK621,2025-09-23,1.32,1.17,1.17,1.45,
VALEK626,2025-09-23,1.08,1,1,1.25,
VALEK631,2025-09-23,1,0.93,0.92,1.07,
VALEK636,2025-09-23,0.9,0.74,0.74,0.92,
VALEK641,2025-09-23,0.71,0.63,0.63,0.79,
VALEK646,2025-09-23,0.59,0.54,0.54,0.67,
VALEK651,2025-09-23,0.52,0.47,0.47,0.57,
VALEK661,2025-09-23,0.37,0.34,0.34,0.42,
VALEK666,2025-09-23,0.34,0.29,0.29,0.36,
VALEK671,2025-09-23,0.28,0.24,0.24,0.31,
VALEK678,2025-09-23,0.42,0.42,0.42,0.49,
VALEK681,2025-09-23,0.22,0.22,0.21,0.23,
VALEK686,2025-09-23,0.2,0.19,0.18,0.2,
VALEK691,2025-09-23,0.17,0.17,0.16,0.17,
VALEK696,2025-09-23,0.14,0.14,0.14,0.14,
VALEK70,2025-09-23,0.25,0.21,0.21,0.26,
VALEK701,2025-09-23,0.11,0.11,0.11,0.11,
VALEK706,2025-09-23,0.11,0.1,0.1,0.11,
VALEK721,2025-09-23,0.08,0.08,0.08,0.08,
VALEK726,2025-09-23,0.06,0.06,0.06,0.06,
VALEL1,2025-09-23,5.6,6.1,5.6,6.1,
VALEL220,2025-09-23,0.02,0.05,0.02,0.05,
VALEL524,2025-09-23,9.22,9.25,9.22,9.25,
VALEL530,2025-09-23,10.33,10.29,10.28,10.33,
VALEL544,2025-09-23,7.24,7.21,7.21,7.24,
VALEL564,2025-09-23,5.78,5.78,5.78,5.78,
VALEL57,2025-09-23,14,13.89,13.89,14,
VALEL580,2025-09-23,6.07,6.03,6.03,6.33,
VALEL590,2025-09-23,5.35,5.15,5.05,5.5,
VALEL594,2025-09-23,3.4,3.27,3.27,3.59,
VALEL600,2025-09-23,4.6,4.26,4.26,4.6,
VALEL604,2025-09-23,2.36,2.94,2.36,2.94,
VALEL609,2025-09-23,2.7,2.65,2.12,2.7,
VALEL614,2025-09-23,2.29,2.29,2.29,2.29,
VALEL617,2025-09-23,1.4,1.4,1.4,1.4,
VALEL61W1,2025-09-23,1.46,1.46,1.46,1.46,
VALEL62,2025-09-23,0.4,0.4,0.4,0.4,
VALEL620,2025-09-23,2.94,2.94,2.94,3.39,
VALEL624,2025-09-23,1.92,1.64,1.64,1.92,
VALEL629,2025-09-23,1.66,1.66,1.66,1.66,
VALEL630W1,2025-09-23,0.4,0.4,0.4,0.4,
VALEL637,2025-09-23,0.85,0.85,0.85,0.85,
VALEL639,2025-09-23,1.33,1.17,1.17,1.39,
VALEL644,2025-09-23,2.06,2.06,2.06,2.06,
VALEL649,2025-09-23,0.91,0.9,0.89,0.91,
VALEL65,2025-09-23,8.9,8.96,8.61,9.03,
VALEL659,2025-09-23,0.87,0.87,0.87,0.87,
