Ativo,DataPregao,Abertura,Fechamento,PrecoMin,PrecoMax,Volume
BBASK307,2025-10-07,0.01,0.01,0.01,0.01,8
BBASV200W4,2025-10-07,0.11,0.09,0.09,0.12,6
CVCBK200,2025-10-07,0.06,0.04,0.04,0.06,8
BBASX199,2025-10-07,0.45,0.45,0.45,0.45,4
BBASV244,2025-10-07,2.65,2.7,2.65,2.85,13
BBASX179,2025-10-07,0.15,0.16,0.15,0.16,3
USIMV410W2,2025-10-07,0.01,0.01,0.01,0.01,1
BBASK240W2,2025-10-07,0.17,0.17,0.16,0.18,4
B3SAK129,2025-10-07,0.48,0.34,0.29,0.48,211
B3SAD185,2025-10-07,0.11,0.11,0.11,0.11,1
BBASK200,2025-10-07,6.05,5.89,5.89,6.05,2
USIMW460,2025-10-07,0.29,0.33,0.29,0.34,7
HAPVK407,2025-10-07,0.95,0.75,0.73,0.95,17
HAPVK415W1,2025-10-07,0.32,0.18,0.18,0.33,29
HAPVV375W2,2025-10-07,2,2.49,2,2.51,18
B3SAJ140W2,2025-10-07,0.01,0.01,0.01,0.01,1
HAPVW390,2025-10-07,4.73,4.6,4.6,4.73,3
HAPVK395W1,2025-10-07,0.62,0.41,0.38,0.65,61
BBASL235,2025-10-07,0.53,0.56,0.53,0.58,13
HAPVV337,2025-10-07,0.43,0.39,0.39,0.48,8
HAPVJ380,2025-10-07,0.19,0.1,0.1,0.19,3
BBASA223,2025-10-07,1.1,1.1,1.1,1.1,1
HAPVX330,2025-10-07,1.47,1.67,1.47,1.73,7
CVCBV199,2025-10-07,0.23,0.24,0.22,0.25,102
BBASV225W5,2025-10-07,1.31,1.31,1.29,1.31,6
BBASK169,2025-10-07,4.76,4.72,4.57,4.76,39
USIMV427,2025-10-07,0.04,0.06,0.04,0.07,13
BBASW179,2025-10-07,0.1,0.09,0.09,0.11,28
CVCBJ500,2025-10-07,1.72,1.72,1.72,1.72,2
CVCBK210,2025-10-07,0.04,0.04,0.04,0.04,3
USIMW405,2025-10-07,0.08,0.1,0.08,0.1,3
BBASV256,2025-10-07,4.02,3.97,3.97,4.02,3
B3SAL150,2025-10-07,1.55,1.55,1.55,1.55,1
HAPVV345,2025-10-07,0.46,0.69,0.46,0.69,2
USIMJ447,2025-10-07,0.15,0.1,0.08,0.15,11
BBASL21,2025-10-07,1.79,1.45,1.37,1.79,9
USIMJ487,2025-10-07,0.02,0.02,0.02,0.02,8
HAPVW320,2025-10-07,1.09,1.15,1.08,1.15,4
BBASW205W2,2025-10-07,0.3,0.3,0.3,0.3,1
CVCBW170,2025-10-07,0.06,0.07,0.06,0.07,6
CVCBW660,2025-10-07,4.71,4.71,4.71,4.71,1
CVCBK230,2025-10-07,0.02,0.02,0.02,0.02,2
USIMV532,2025-10-07,0.82,0.82,0.82,0.82,1
HAPVW347,2025-10-07,2.05,2.06,2.05,2.06,2
HAPVK280,2025-10-07,0.7,0.55,0.55,0.71,6
B3SAV135W2,2025-10-07,1,1.18,1,1.2,5
USIMJ497,2025-10-07,0.02,0.01,0.01,0.02,2
BBASW175W1,2025-10-07,0.03,0.04,0.03,0.04,3
HAPVK45,2025-10-07,0.36,0.37,0.36,0.37,2
BBASW275,2025-10-07,5.35,5.37,5.35,5.37,2
USIML830,2025-10-07,0.3,0.3,0.3,0.3,1
USIMV430W2,2025-10-07,0.02,0.04,0.02,0.04,5
CVCBK170,2025-10-07,0.16,0.14,0.14,0.16,7
HAPVV260,2025-10-07,0.01,0.01,0.01,0.01,1
USIMJ500,2025-10-07,0.65,0.65,0.65,0.65,1
HAPVK412,2025-10-07,0.68,0.68,0.68,0.68,1
HAPVJ360W2,2025-10-07,0.24,0.26,0.24,0.26,2
USIMW360,2025-10-07,0.03,0.03,0.03,0.03,1
BBASW220W1,2025-10-07,0.92,0.91,0.91,0.92,2
BBASJ210W5,2025-10-07,0.86,0.86,0.86,0.86,1
HAPVW270,2025-10-07,0.24,0.24,0.24,0.24,3
USIME700,2025-10-07,0.62,0.45,0.45,0.62,2
HAPVX32,2025-10-07,1.26,1.32,1.26,1.35,12
HAPVJ390W5,2025-10-07,0.27,0.28,0.27,0.29,12
B3SAK999,2025-10-07,2.46,2.46,2.46,2.46,2
BBASC197,2025-10-07,3.25,3.27,3.2,3.4,7
B3SAR13,2025-10-07,1.04,1.01,1.01,1.04,2
BBASJ215W5,2025-10-07,0.57,0.57,0.57,0.57,1
BBASS21,2025-10-07,1.07,1.07,1.07,1.07,1
USIMV582,2025-10-07,1.45,1.45,1.45,1.45,1
BBASN26,2025-10-07,3.33,3.33,3.33,3.33,1
USIMJ37,2025-10-07,0.01,0.01,0.01,0.01,2
B3SAW164,2025-10-07,3.84,3.84,3.84,3.84,1
HAPVJ327,2025-10-07,2.5,2.5,2.5,2.5,1
USIMV482,2025-10-07,0.43,0.43,0.43,0.43,1
USIML519,2025-10-07,0.11,0.12,0.11,0.12,2
HAPVV310,2025-10-07,0.07,0.07,0.07,0.07,1
BBASX204,2025-10-07,0.6,0.6,0.6,0.6,2
BBASW225W1,2025-10-07,1.4,1.38,1.38,1.4,2
BBASD186,2025-10-07,4.15,4.15,4.15,4.15,1
